User Name,Source,Title,Author,Keywords,Published Date,Heading,Subheading,ISBN,Amazon URL
jeffbezos,https://fs.blog/2013/10/jeff-bezoss-reading-list/,Jeff Bezos' Reading List,Jeff Bezos,,,,,,
,,,,,,,,,https://www.amazon.com/dp/0679731725/?tag=farnamstreet-20
,,,,,,,,,https://www.amazon.com/dp/0553562835/?tag=farnamstreet-20
,,,,,,,,,https://www.amazon.com/dp/0761103465/?tag=farnamstreet-20
,,,,,,,,9780132119160,
,,,,,,,,,https://www.amazon.com/dp/0060516402/?tag=farnamstreet-20
,,,,,,,,,https://www.amazon.com/dp/0066620996/?tag=farnamstreet-20
,,,,,,,,,https://www.amazon.com/dp/0674011139/?tag=farnamstreet-20
,,,,,,,,,https://www.amazon.com/dp/0062060244/?tag=farnamstreet-20
,,,,,,,,,https://www.amazon.com/dp/0884271951/?tag=farnamstreet-20
,,,,,,,,,https://www.amazon.com/dp/0743249275/?tag=farnamstreet-20
,,,,,,,,,https://www.amazon.com/dp/0470504544/?tag=farnamstreet-20
,,,,,,,,,https://www.amazon.com/gp/product/081297381X/ref=as_li_qf_asin_il_tl?imprToken=HE6UhO356-pWOwJCbmxisg&slotNum=1&ie=UTF8&tag=farnamstreet-20&creative=9325&linkCode=w61&creativeASIN=081297381X&linkId=137802569dba598c5c6c78027fc57d9f
